timestamp,id_maquina,temperatura,rotacao_rpm,vibracao_mm_s,pressao_bar,falha
2025-12-31 19:23:47.108380,3,90.91,1989,52.04,12.43,1
2025-12-31 19:24:47.108380,1,93.45,1658,50.36,14.18,1
2025-12-31 19:25:47.108380,2,86.0,1876,59.29,11.99,1
2025-12-31 19:26:47.108380,4,86.0,1765,56.63,13.51,1
2025-12-31 19:27:47.108380,1,58.59,1901,28.5,13.69,0
2025-12-31 19:28:47.108380,2,67.18,1562,34.63,12.15,0
2025-12-31 19:29:47.108380,1,94.27,2135,60.95,13.59,1
2025-12-31 19:30:47.108380,4,64.76,1621,27.67,11.09,0
2025-12-31 19:31:47.108380,1,92.51,1788,58.18,15.04,1
2025-12-31 19:32:47.108380,2,71.52,1743,18.35,14.97,0
2025-12-31 19:33:47.108380,3,94.57,1901,51.8,12.48,1
2025-12-31 19:34:47.108380,2,93.73,2005,46.0,11.96,1
2025-12-31 19:35:47.108380,2,47.99,1766,25.62,11.93,0
2025-12-31 19:36:47.108380,5,67.45,1873,31.7,15.78,0
2025-12-31 19:37:47.108380,4,65.37,1681,25.39,9.84,0
2025-12-31 19:38:47.108380,1,69.74,1787,19.74,11.22,0
2025-12-31 19:39:47.108380,5,86.48,1870,51.79,15.02,1
2025-12-31 19:40:47.108380,3,60.12,1619,24.13,12.04,0
2025-12-31 19:41:47.108380,1,65.29,2055,21.72,16.89,0
2025-12-31 19:42:47.108380,5,61.97,1872,15.4,13.26,0
2025-12-31 19:43:47.108380,2,70.79,1751,25.58,12.63,0
2025-12-31 19:44:47.108380,2,93.57,1500,56.5,13.24,1
2025-12-31 19:45:47.108380,1,71.56,1807,26.11,12.05,0
2025-12-31 19:46:47.108380,5,70.37,1748,43.44,9.5,0
2025-12-31 19:47:47.108380,2,62.42,1692,30.43,10.94,0
2025-12-31 19:48:47.108380,3,74.44,1593,31.89,15.26,0
2025-12-31 19:49:47.108380,2,89.88,1768,47.4,10.95,1
2025-12-31 19:50:47.108380,5,70.78,1860,25.23,13.42,0
2025-12-31 19:51:47.108380,4,88.89,1759,50.59,9.48,1
2025-12-31 19:52:47.108380,3,97.13,2141,50.42,14.23,1
2025-12-31 19:53:47.108380,2,65.44,1692,44.0,15.98,0
2025-12-31 19:54:47.108380,4,88.88,1355,58.61,7.66,1
2025-12-31 19:55:47.108380,3,64.88,1753,42.36,8.68,0
2025-12-31 19:56:47.108380,5,70.62,1675,25.09,12.76,0
2025-12-31 19:57:47.108380,4,82.9,1924,31.61,12.03,0
2025-12-31 19:58:47.108380,1,82.7,2040,35.18,14.77,0
2025-12-31 19:59:47.108380,5,86.64,1691,53.21,8.3,1
2025-12-31 20:00:47.108380,1,98.47,1796,57.5,10.54,1
2025-12-31 20:01:47.108380,2,56.26,1650,33.66,14.45,0
2025-12-31 20:02:47.108380,3,67.46,2128,31.84,14.5,0
