ds,y
2023-01-06,4090.04
2023-01-07,6273.78
2023-01-08,5912.77
2023-01-09,4379.39
2023-01-10,3815.6
2023-01-11,3816.61
2023-01-12,3692.62
2023-01-13,4725.92
2023-01-14,5705.08
2023-01-15,5884.35
2023-01-16,3648.71
2023-01-17,4863.75
2023-01-18,4689.23
2023-01-19,3897.06
2023-01-20,3859.07
2023-01-21,5020.79
2023-01-22,5223.33
2023-01-23,4301.51
2023-01-24,4183.76
2023-01-25,4004.55
2023-01-26,4416.68
2023-01-27,3812.16
2023-01-28,5211.7
2023-01-29,5336.91
2023-01-30,4221.57
2023-01-31,4645.2
2023-02-01,4581.92
2023-02-02,5058.5
2023-02-03,5178.04
2023-02-04,5660.2
2023-02-05,6764.86
2023-02-06,4544.05
2023-02-07,4385.69
2023-02-08,5724.62
2023-02-09,5751.53
2023-02-10,5514.98
2023-02-11,6179.35
2023-02-12,5773.4
2023-02-13,5331.28
2023-02-14,4962.69
2023-02-15,4481.64
2023-02-16,5048.85
2023-02-17,4351.08
2023-02-18,7384.15
2023-02-19,6102.31
2023-02-20,5308.43
2023-02-21,4777.02
2023-02-22,5094.87
2023-02-23,5136.74
2023-02-24,4588.06
2023-02-25,7517.27
2023-02-26,7134.83
2023-02-27,5739.87
2023-02-28,5673.44
2023-03-01,5223.0
2023-03-02,5717.69
2023-03-03,4449.98
2023-03-04,5999.42
2023-03-05,5702.39
2023-03-06,4814.58
2023-03-07,4912.46
2023-03-08,4734.85
2023-03-09,5586.41
2023-03-10,4867.72
2023-03-11,6179.3
2023-03-12,6700.49
2023-03-13,4542.06
2023-03-14,5553.4
2023-03-15,4443.09
2023-03-16,5838.66
2023-03-17,5512.09
2023-03-18,6027.51
2023-03-19,5644.97
2023-03-20,5582.66
2023-03-21,5417.95
2023-03-22,5453.31
2023-03-23,5519.49
2023-03-24,4453.07
2023-03-25,6357.01
2023-03-26,5875.42
2023-03-27,5666.18
2023-03-28,5300.01
2023-03-29,4852.98
2023-03-30,4444.15
2023-03-31,4825.02
2023-04-01,6302.54
2023-04-02,7111.43
2023-04-03,5330.43
2023-04-04,5715.37
2023-04-05,5079.22
2023-04-06,4538.61
2023-04-07,5452.5
2023-04-08,7185.18
2023-04-09,6788.15
2023-04-10,5545.69
2023-04-11,5120.59
2023-04-12,5166.5
2023-04-13,5021.3
2023-04-14,4403.26
2023-04-15,5890.95
2023-04-16,5739.34
2023-04-17,5348.63
2023-04-18,4853.48
2023-04-19,5154.31
2023-04-20,5771.23
2023-04-21,4756.96
2023-04-22,6508.94
2023-04-23,7203.48
2023-04-24,4729.11
2023-04-25,4495.84
2023-04-26,4825.81
2023-04-27,4628.43
2023-04-28,5817.75
2023-04-29,7320.67
2023-04-30,6971.28
2023-05-01,5732.28
2023-05-02,5628.89
2023-05-03,4675.06
2023-05-04,5769.52
2023-05-05,5223.95
2023-05-06,7332.92
2023-05-07,7513.46
2023-05-08,4885.0
2023-05-09,4563.86
2023-05-10,4747.9
2023-05-11,5058.15
2023-05-12,5666.09
2023-05-13,7454.06
2023-05-14,5732.79
2023-05-15,5193.4
2023-05-16,5049.79
2023-05-17,4747.65
2023-05-18,4590.0
2023-05-19,4929.74
2023-05-20,7634.01
2023-05-21,6382.91
2023-05-22,5215.54
2023-05-23,5503.63
2023-05-24,4976.75
2023-05-25,5925.03
2023-05-26,5912.06
2023-05-27,6248.37
2023-05-28,6747.3
2023-05-29,4885.51
2023-05-30,4861.79
2023-05-31,4476.36
2023-06-01,4833.83
2023-06-02,4685.0
2023-06-03,5268.13
2023-06-04,5684.47
2023-06-05,5258.74
2023-06-06,4320.03
2023-06-07,4188.04
2023-06-08,4673.79
2023-06-09,5373.15
2023-06-10,5626.51
2023-06-11,6415.04
2023-06-12,5061.94
2023-06-13,4325.27
2023-06-14,5017.54
2023-06-15,4510.94
2023-06-16,4884.98
2023-06-17,6354.39
2023-06-18,6176.83
2023-06-19,4124.23
2023-06-20,5176.55
2023-06-21,4451.71
2023-06-22,4263.33
2023-06-23,4058.63
2023-06-24,6287.77
2023-06-25,6448.61
2023-06-26,4027.64
2023-06-27,4729.15
2023-06-28,4326.56
2023-06-29,4919.85
2023-06-30,4255.07
2023-07-01,6483.34
2023-07-02,5925.27
2023-07-03,5337.79
2023-07-04,4207.34
2023-07-05,4496.78
2023-07-06,4175.46
2023-07-07,5326.31
2023-07-08,6838.73
2023-07-09,5698.68
2023-07-10,4955.01
2023-07-11,5179.39
2023-07-12,4808.89
2023-07-13,4773.87
2023-07-14,4366.47
2023-07-15,5403.24
2023-07-16,6889.72
2023-07-17,5305.71
2023-07-18,4927.13
2023-07-19,4510.32
2023-07-20,4525.97
2023-07-21,5063.06
2023-07-22,6900.28
2023-07-23,6883.53
2023-07-24,5143.77
2023-07-25,4948.82
2023-07-26,4155.48
2023-07-27,4266.96
2023-07-28,5318.25
2023-07-29,6374.18
2023-07-30,5268.82
2023-07-31,4185.59
2023-08-01,5542.72
2023-08-02,4500.22
2023-08-03,4748.38
2023-08-04,5364.98
2023-08-05,7271.58
2023-08-06,7191.07
2023-08-07,4854.05
2023-08-08,5630.08
2023-08-09,4877.18
2023-08-10,5018.49
2023-08-11,5688.98
2023-08-12,7197.43
2023-08-13,7611.84
2023-08-14,5552.04
2023-08-15,5411.41
2023-08-16,4657.55
2023-08-17,5094.93
2023-08-18,4933.04
2023-08-19,6370.69
2023-08-20,7881.95
2023-08-21,5140.63
2023-08-22,5937.13
2023-08-23,5522.75
2023-08-24,5785.15
2023-08-25,5320.64
2023-08-26,7072.65
2023-08-27,6899.41
2023-08-28,4834.11
2023-08-29,5677.08
2023-08-30,4973.18
2023-08-31,4564.8
2023-09-01,5558.46
2023-09-02,6254.75
2023-09-03,7842.77
2023-09-04,6055.99
2023-09-05,5995.06
2023-09-06,5125.15
2023-09-07,4558.84
2023-09-08,6021.22
2023-09-09,6788.6
2023-09-10,7911.42
2023-09-11,6082.41
2023-09-12,5906.73
2023-09-13,5013.02
2023-09-14,5159.63
2023-09-15,5908.27
2023-09-16,6568.8
2023-09-17,6262.99
2023-09-18,5440.47
2023-09-19,6050.8
2023-09-20,5666.8
2023-09-21,5465.94
2023-09-22,4707.68
2023-09-23,7203.25
2023-09-24,7988.73
2023-09-25,4780.28
2023-09-26,5389.75
2023-09-27,5968.65
2023-09-28,5750.39
2023-09-29,5681.44
2023-09-30,7399.21
2023-10-01,6683.15
2023-10-02,5036.06
2023-10-03,5868.23
2023-10-04,5870.94
2023-10-05,5964.24
2023-10-06,6040.2
2023-10-07,7011.72
2023-10-08,6992.91
2023-10-09,5859.36
2023-10-10,5621.47
2023-10-11,5706.85
2023-10-12,5859.8
2023-10-13,6013.45
2023-10-14,6660.18
2023-10-15,6740.83
2023-10-16,4731.42
2023-10-17,5515.6
2023-10-18,4639.97
2023-10-19,5336.13
2023-10-20,5462.15
2023-10-21,6563.79
2023-10-22,7205.81
2023-10-23,4637.06
2023-10-24,4649.32
2023-10-25,5922.61
2023-10-26,5174.82
2023-10-27,4798.27
2023-10-28,7072.22
2023-10-29,7596.31
2023-10-30,4945.9
2023-10-31,5607.6
2023-11-01,4736.66
2023-11-02,4683.21
2023-11-03,5463.24
2023-11-04,7123.6
2023-11-05,7329.82
2023-11-06,5783.82
2023-11-07,6191.23
2023-11-08,5445.68
2023-11-09,5132.65
2023-11-10,5902.06
2023-11-11,6565.57
2023-11-12,6922.94
2023-11-13,4739.84
2023-11-14,4654.56
2023-11-15,6182.25
